model,accuracy,precision_macro,recall_macro,f1_macro
RandomForest,0.9373549883990719,0.9406132019755059,0.9349512921271421,0.9357563077286526
NaiveBayes,0.703016241299304,0.7236164333571994,0.6927144355848648,0.6894908592138649
DecisionTree,0.5591647331786543,0.5627504211453218,0.5545938274349723,0.5571163616560507
SVM_RBF,0.5104408352668214,0.8070927690887368,0.49481437425256647,0.5410913618970175
AdaBoost,0.35498839907192575,0.42693138702683564,0.3412645988329833,0.3447360491120705
